========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 2475 | NetHead: 2474 | Confirmed: 2473 | Missing: 2 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2513 | NetHead: 2513 | Confirmed: 2508 | Missing: 5 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2552 | NetHead: 2552 | Confirmed: 2547 | Missing: 5 | StateHash: 0x0202C19A
[HEARTBEAT] SimTick: 2594 | NetHead: 2593 | Confirmed: 2590 | Missing: 4 | StateHash: 0xA3E71604
[HEARTBEAT] SimTick: 2636 | NetHead: 2636 | Confirmed: 2631 | Missing: 5 | StateHash: 0xA3E71604
[HEARTBEAT] SimTick: 2672 | NetHead: 2671 | Confirmed: 2667 | Missing: 5 | StateHash: 0x167DE4BA
[HEARTBEAT] SimTick: 2706 | NetHead: 2706 | Confirmed: 2701 | Missing: 5 | StateHash: 0x1809E89E
[HEARTBEAT] SimTick: 2744 | NetHead: 2744 | Confirmed: 2739 | Missing: 5 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2786 | NetHead: 2785 | Confirmed: 2784 | Missing: 2 | StateHash: 0xDFA231D2
[HEARTBEAT] SimTick: 2830 | NetHead: 2829 | Confirmed: 2825 | Missing: 5 | StateHash: 0xB7EEA3E6
[HEARTBEAT] SimTick: 2866 | NetHead: 2865 | Confirmed: 2863 | Missing: 3 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2907 | NetHead: 2906 | Confirmed: 2904 | Missing: 3 | StateHash: 0x178D2FAA
[HEARTBEAT] SimTick: 2940 | NetHead: 2940 | Confirmed: 2935 | Missing: 5 | StateHash: 0x0FFAB1E9
[HEARTBEAT] SimTick: 2981 | NetHead: 2980 | Confirmed: 2976 | Missing: 5 | StateHash: 0x56BD6354
[HEARTBEAT] SimTick: 3018 | NetHead: 3018 | Confirmed: 3016 | Missing: 2 | StateHash: 0xE172C759
[HEARTBEAT] SimTick: 3061 | NetHead: 3061 | Confirmed: 3056 | Missing: 5 | StateHash: 0xA47DA88E
[HEARTBEAT] SimTick: 3096 | NetHead: 3095 | Confirmed: 3094 | Missing: 2 | StateHash: 0x932B549C
[HEARTBEAT] SimTick: 3137 | NetHead: 3137 | Confirmed: 3132 | Missing: 5 | StateHash: 0x83D6C3E9
[HEARTBEAT] SimTick: 3176 | NetHead: 3176 | Confirmed: 3171 | Missing: 5 | StateHash: 0xD3F4F361
[HEARTBEAT] SimTick: 3212 | NetHead: 3211 | Confirmed: 3208 | Missing: 4 | StateHash: 0x8CE6DC74
[HEARTBEAT] SimTick: 3250 | NetHead: 3249 | Confirmed: 3248 | Missing: 2 | StateHash: 0xFB97128D
[HEARTBEAT] SimTick: 3290 | NetHead: 3289 | Confirmed: 3286 | Missing: 4 | StateHash: 0xA01FF8D9
[HEARTBEAT] SimTick: 3327 | NetHead: 3327 | Confirmed: 3323 | Missing: 4 | StateHash: 0xFDFB373C
[HEARTBEAT] SimTick: 3368 | NetHead: 3368 | Confirmed: 3363 | Missing: 5 | StateHash: 0x07A270D5
[HEARTBEAT] SimTick: 3406 | NetHead: 3405 | Confirmed: 3402 | Missing: 4 | StateHash: 0x6BBCFAD9
[HEARTBEAT] SimTick: 3441 | NetHead: 3440 | Confirmed: 3439 | Missing: 2 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3475 | NetHead: 3474 | Confirmed: 3473 | Missing: 2 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3516 | NetHead: 3515 | Confirmed: 3512 | Missing: 4 | StateHash: 0x320DCBEC
[HEARTBEAT] SimTick: 3553 | NetHead: 3552 | Confirmed: 3551 | Missing: 2 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3595 | NetHead: 3594 | Confirmed: 3592 | Missing: 3 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3629 | NetHead: 3628 | Confirmed: 3625 | Missing: 4 | StateHash: 0xCC1CEFFA
[HEARTBEAT] SimTick: 3671 | NetHead: 3670 | Confirmed: 3666 | Missing: 5 | StateHash: 0x5E09063E
[HEARTBEAT] SimTick: 3713 | NetHead: 3712 | Confirmed: 3709 | Missing: 4 | StateHash: 0x6CBD9544
[HEARTBEAT] SimTick: 3757 | NetHead: 3756 | Confirmed: 3754 | Missing: 3 | StateHash: 0xABFF86BC
[HEARTBEAT] SimTick: 3796 | NetHead: 3796 | Confirmed: 3791 | Missing: 5 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3832 | NetHead: 3831 | Confirmed: 3828 | Missing: 4 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3871 | NetHead: 3870 | Confirmed: 3868 | Missing: 3 | StateHash: 0x6B8A4DCA
