========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 1 bound to :50001. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 3366 | NetHead: 3365 | Confirmed: 3361 | Missing: 5 | StateHash: 0x07A270D5
[HEARTBEAT] SimTick: 3402 | NetHead: 3402 | Confirmed: 3397 | Missing: 5 | StateHash: 0x6BBCFAD9
[HEARTBEAT] SimTick: 3438 | NetHead: 3438 | Confirmed: 3433 | Missing: 5 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3471 | NetHead: 3470 | Confirmed: 3469 | Missing: 2 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3511 | NetHead: 3511 | Confirmed: 3507 | Missing: 4 | StateHash: 0x320DCBEC
[HEARTBEAT] SimTick: 3551 | NetHead: 3551 | Confirmed: 3546 | Missing: 5 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3590 | NetHead: 3590 | Confirmed: 3585 | Missing: 5 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3625 | NetHead: 3624 | Confirmed: 3620 | Missing: 5 | StateHash: 0xCC1CEFFA
[HEARTBEAT] SimTick: 3667 | NetHead: 3666 | Confirmed: 3663 | Missing: 4 | StateHash: 0x5E09063E
[HEARTBEAT] SimTick: 3708 | NetHead: 3708 | Confirmed: 3703 | Missing: 5 | StateHash: 0x6CBD9544
[HEARTBEAT] SimTick: 3752 | NetHead: 3751 | Confirmed: 3749 | Missing: 3 | StateHash: 0xD798BDFA
[HEARTBEAT] SimTick: 3793 | NetHead: 3792 | Confirmed: 3789 | Missing: 4 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3829 | NetHead: 3829 | Confirmed: 3824 | Missing: 5 | StateHash: 0x5C791A24
[HEARTBEAT] SimTick: 3866 | NetHead: 3866 | Confirmed: 3861 | Missing: 5 | StateHash: 0x6B8A4DCA
[HEARTBEAT] SimTick: 3910 | NetHead: 3909 | Confirmed: 3906 | Missing: 4 | StateHash: 0x271F293E
[HEARTBEAT] SimTick: 3946 | NetHead: 3945 | Confirmed: 3941 | Missing: 5 | StateHash: 0xE7DEA974
[HEARTBEAT] SimTick: 3987 | NetHead: 3986 | Confirmed: 3982 | Missing: 5 | StateHash: 0x869CDFD2
[HEARTBEAT] SimTick: 4022 | NetHead: 4022 | Confirmed: 4020 | Missing: 2 | StateHash: 0xDAA72666
[HEARTBEAT] SimTick: 4061 | NetHead: 4060 | Confirmed: 4058 | Missing: 3 | StateHash: 0x4F90D2D4
[HEARTBEAT] SimTick: 4097 | NetHead: 4096 | Confirmed: 4095 | Missing: 2 | StateHash: 0x38916761
[HEARTBEAT] SimTick: 4139 | NetHead: 4138 | Confirmed: 4137 | Missing: 2 | StateHash: 0xD3BDF6F1
[HEARTBEAT] SimTick: 4180 | NetHead: 4179 | Confirmed: 4175 | Missing: 5 | StateHash: 0x6529F36C
[HEARTBEAT] SimTick: 4214 | NetHead: 4214 | Confirmed: 4209 | Missing: 5 | StateHash: 0xA2C094D1
[HEARTBEAT] SimTick: 4253 | NetHead: 4252 | Confirmed: 4251 | Missing: 2 | StateHash: 0x988E5FE1
[HEARTBEAT] SimTick: 4294 | NetHead: 4294 | Confirmed: 4289 | Missing: 5 | StateHash: 0x8E7C8D84
[HEARTBEAT] SimTick: 4331 | NetHead: 4330 | Confirmed: 4326 | Missing: 5 | StateHash: 0xC82C6341
[HEARTBEAT] SimTick: 4370 | NetHead: 4369 | Confirmed: 4365 | Missing: 5 | StateHash: 0xD55FBD19
[HEARTBEAT] SimTick: 4408 | NetHead: 4408 | Confirmed: 4403 | Missing: 5 | StateHash: 0x331FF114
[HEARTBEAT] SimTick: 4446 | NetHead: 4445 | Confirmed: 4441 | Missing: 5 | StateHash: 0x9AA751CD
[HEARTBEAT] SimTick: 4482 | NetHead: 4481 | Confirmed: 4478 | Missing: 4 | StateHash: 0x864CCBD1
[HEARTBEAT] SimTick: 4522 | NetHead: 4522 | Confirmed: 4517 | Missing: 5 | StateHash: 0x8C499F7C
[HEARTBEAT] SimTick: 4559 | NetHead: 4558 | Confirmed: 4555 | Missing: 4 | StateHash: 0x8C499F7C
[HEARTBEAT] SimTick: 4595 | NetHead: 4594 | Confirmed: 4593 | Missing: 2 | StateHash: 0x7E339AEC
[HEARTBEAT] SimTick: 4637 | NetHead: 4636 | Confirmed: 4635 | Missing: 2 | StateHash: 0xC866539C
[HEARTBEAT] SimTick: 4682 | NetHead: 4681 | Confirmed: 4677 | Missing: 5 | StateHash: 0xC866539C
[HEARTBEAT] SimTick: 4724 | NetHead: 4723 | Confirmed: 4721 | Missing: 3 | StateHash: 0xA59B4D49
[HEARTBEAT] SimTick: 4765 | NetHead: 4765 | Confirmed: 4760 | Missing: 5 | StateHash: 0xBC293A84
[HEARTBEAT] SimTick: 4805 | NetHead: 4804 | Confirmed: 4803 | Missing: 2 | StateHash: 0x0AFB31DD
[HEARTBEAT] SimTick: 4842 | NetHead: 4842 | Confirmed: 4839 | Missing: 3 | StateHash: 0x3AAAD841
[HEARTBEAT] SimTick: 4883 | NetHead: 4882 | Confirmed: 4880 | Missing: 3 | StateHash: 0x50AF2794
[HEARTBEAT] SimTick: 4926 | NetHead: 4925 | Confirmed: 4922 | Missing: 4 | StateHash: 0x66D6A5DD
[HEARTBEAT] SimTick: 4965 | NetHead: 4964 | Confirmed: 4961 | Missing: 4 | StateHash: 0xDBF35289
[HEARTBEAT] SimTick: 4993 | NetHead: 4993 | Confirmed: 4989 | Missing: 4 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5026 | NetHead: 5026 | Confirmed: 5025 | Missing: 1 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5064 | NetHead: 5064 | Confirmed: 5062 | Missing: 2 | StateHash: 0xE0B89072
[HEARTBEAT] SimTick: 5105 | NetHead: 5105 | Confirmed: 5100 | Missing: 5 | StateHash: 0xD579B94E
[HEARTBEAT] SimTick: 5147 | NetHead: 5146 | Confirmed: 5143 | Missing: 4 | StateHash: 0x9D3FF1FC
[HEARTBEAT] SimTick: 5187 | NetHead: 5186 | Confirmed: 5183 | Missing: 4 | StateHash: 0x2022E84A
[HEARTBEAT] SimTick: 5220 | NetHead: 5219 | Confirmed: 5218 | Missing: 2 | StateHash: 0x31B3D799
[HEARTBEAT] SimTick: 5262 | NetHead: 5262 | Confirmed: 5257 | Missing: 5 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5296 | NetHead: 5296 | Confirmed: 5291 | Missing: 5 | StateHash: 0x48898369
[HEARTBEAT] SimTick: 5336 | NetHead: 5336 | Confirmed: 5332 | Missing: 4 | StateHash: 0x3D494E01
[HEARTBEAT] SimTick: 5374 | NetHead: 5373 | Confirmed: 5369 | Missing: 5 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5413 | NetHead: 5413 | Confirmed: 5412 | Missing: 1 | StateHash: 0x92B6EDB9
[HEARTBEAT] SimTick: 5453 | NetHead: 5453 | Confirmed: 5450 | Missing: 3 | StateHash: 0xE95F5E41
[HEARTBEAT] SimTick: 5498 | NetHead: 5498 | Confirmed: 5493 | Missing: 5 | StateHash: 0xD9F16574
[HEARTBEAT] SimTick: 5537 | NetHead: 5536 | Confirmed: 5533 | Missing: 4 | StateHash: 0x7FC85D21
[HEARTBEAT] SimTick: 5578 | NetHead: 5577 | Confirmed: 5573 | Missing: 5 | StateHash: 0x8BA242E1
[HEARTBEAT] SimTick: 5619 | NetHead: 5618 | Confirmed: 5616 | Missing: 3 | StateHash: 0x03AEBFB4
[HEARTBEAT] SimTick: 5661 | NetHead: 5660 | Confirmed: 5658 | Missing: 3 | StateHash: 0x706600E1
[HEARTBEAT] SimTick: 5697 | NetHead: 5697 | Confirmed: 5693 | Missing: 4 | StateHash: 0x69CA7E91
[HEARTBEAT] SimTick: 5735 | NetHead: 5735 | Confirmed: 5730 | Missing: 5 | StateHash: 0x9B0FE6DC
[HEARTBEAT] SimTick: 5777 | NetHead: 5777 | Confirmed: 5772 | Missing: 5 | StateHash: 0x37FAD441
[HEARTBEAT] SimTick: 5818 | NetHead: 5817 | Confirmed: 5814 | Missing: 4 | StateHash: 0xB572CF21
[HEARTBEAT] SimTick: 5861 | NetHead: 5860 | Confirmed: 5857 | Missing: 4 | StateHash: 0x02B113B4
[HEARTBEAT] SimTick: 5900 | NetHead: 5899 | Confirmed: 5896 | Missing: 4 | StateHash: 0xE39B1A41
[HEARTBEAT] SimTick: 5941 | NetHead: 5940 | Confirmed: 5937 | Missing: 4 | StateHash: 0xC8EF4F41
[HEARTBEAT] SimTick: 5978 | NetHead: 5978 | Confirmed: 5975 | Missing: 3 | StateHash: 0x4FDF9C1C
[HEARTBEAT] SimTick: 6014 | NetHead: 6013 | Confirmed: 6009 | Missing: 5 | StateHash: 0xAD492BE1
[HEARTBEAT] SimTick: 6049 | NetHead: 6048 | Confirmed: 6047 | Missing: 2 | StateHash: 0xC21456B1
[HEARTBEAT] SimTick: 6093 | NetHead: 6093 | Confirmed: 6091 | Missing: 2 | StateHash: 0x46C52614
[HEARTBEAT] SimTick: 6131 | NetHead: 6131 | Confirmed: 6126 | Missing: 5 | StateHash: 0x5DC51E91
[HEARTBEAT] SimTick: 6174 | NetHead: 6173 | Confirmed: 6171 | Missing: 3 | StateHash: 0x171CD7C9
[HEARTBEAT] SimTick: 6212 | NetHead: 6212 | Confirmed: 6207 | Missing: 5 | StateHash: 0xC0B79ACC
[HEARTBEAT] SimTick: 6249 | NetHead: 6248 | Confirmed: 6244 | Missing: 5 | StateHash: 0xC8CFE3F5
[HEARTBEAT] SimTick: 6293 | NetHead: 6293 | Confirmed: 6290 | Missing: 3 | StateHash: 0x5623C269
[HEARTBEAT] SimTick: 6333 | NetHead: 6333 | Confirmed: 6328 | Missing: 5 | StateHash: 0x9EAEB724
[HEARTBEAT] SimTick: 6367 | NetHead: 6366 | Confirmed: 6363 | Missing: 4 | StateHash: 0x51B5F3CD
[HEARTBEAT] SimTick: 6404 | NetHead: 6404 | Confirmed: 6399 | Missing: 5 | StateHash: 0x90384711
[HEARTBEAT] SimTick: 6444 | NetHead: 6444 | Confirmed: 6440 | Missing: 4 | StateHash: 0x042B9E14
[HEARTBEAT] SimTick: 6486 | NetHead: 6485 | Confirmed: 6481 | Missing: 5 | StateHash: 0x18F246CD
[HEARTBEAT] SimTick: 6525 | NetHead: 6525 | Confirmed: 6522 | Missing: 3 | StateHash: 0xE4F9AC29
[HEARTBEAT] SimTick: 6559 | NetHead: 6559 | Confirmed: 6554 | Missing: 5 | StateHash: 0x444C2214
[HEARTBEAT] SimTick: 6593 | NetHead: 6592 | Confirmed: 6590 | Missing: 3 | StateHash: 0x444C2214
[HEARTBEAT] SimTick: 6629 | NetHead: 6629 | Confirmed: 6624 | Missing: 5 | StateHash: 0x491EA4AA
[HEARTBEAT] SimTick: 6669 | NetHead: 6668 | Confirmed: 6664 | Missing: 5 | StateHash: 0x122B2486
[HEARTBEAT] SimTick: 6709 | NetHead: 6709 | Confirmed: 6704 | Missing: 5 | StateHash: 0xB3649BBC
[HEARTBEAT] SimTick: 6750 | NetHead: 6749 | Confirmed: 6746 | Missing: 4 | StateHash: 0x37BF581A
[HEARTBEAT] SimTick: 6790 | NetHead: 6790 | Confirmed: 6785 | Missing: 5 | StateHash: 0x56AB6A6E
[HEARTBEAT] SimTick: 6827 | NetHead: 6826 | Confirmed: 6824 | Missing: 3 | StateHash: 0xBF7E8E24
[HEARTBEAT] SimTick: 6863 | NetHead: 6863 | Confirmed: 6861 | Missing: 2 | StateHash: 0xEFFA9C6A
[HEARTBEAT] SimTick: 6902 | NetHead: 6901 | Confirmed: 6898 | Missing: 4 | StateHash: 0xC5480D91
[HEARTBEAT] SimTick: 6940 | NetHead: 6939 | Confirmed: 6936 | Missing: 4 | StateHash: 0x2FA1C334
[HEARTBEAT] SimTick: 6972 | NetHead: 6971 | Confirmed: 6967 | Missing: 5 | StateHash: 0x33BCDE41
[HEARTBEAT] SimTick: 7005 | NetHead: 7005 | Confirmed: 7000 | Missing: 5 | StateHash: 0x17FF2B71
[HEARTBEAT] SimTick: 7045 | NetHead: 7045 | Confirmed: 7042 | Missing: 3 | StateHash: 0x5A70EF84
[HEARTBEAT] SimTick: 7083 | NetHead: 7082 | Confirmed: 7079 | Missing: 4 | StateHash: 0x5A70EF84
[HEARTBEAT] SimTick: 7120 | NetHead: 7120 | Confirmed: 7117 | Missing: 3 | StateHash: 0x7D9416AC
[HEARTBEAT] SimTick: 7158 | NetHead: 7157 | Confirmed: 7154 | Missing: 4 | StateHash: 0xB1CA64D4
[HEARTBEAT] SimTick: 7193 | NetHead: 7193 | Confirmed: 7188 | Missing: 5 | StateHash: 0xB1CA64D4
[HEARTBEAT] SimTick: 7238 | NetHead: 7237 | Confirmed: 7234 | Missing: 4 | StateHash: 0xA815727C
[HEARTBEAT] SimTick: 7279 | NetHead: 7278 | Confirmed: 7274 | Missing: 5 | StateHash: 0x38D794CC
[HEARTBEAT] SimTick: 7312 | NetHead: 7311 | Confirmed: 7310 | Missing: 2 | StateHash: 0x38D794CC
