========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 7 bound to :50007. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 5014 | NetHead: 5013 | Confirmed: 5009 | Missing: 5 | StateHash: 0x96B7880C
[HEARTBEAT] SimTick: 5045 | NetHead: 5045 | Confirmed: 5044 | Missing: 1 | StateHash: 0xD5C88305
[HEARTBEAT] SimTick: 5090 | NetHead: 5089 | Confirmed: 5088 | Missing: 2 | StateHash: 0xADC22C99
[HEARTBEAT] SimTick: 5130 | NetHead: 5130 | Confirmed: 5127 | Missing: 3 | StateHash: 0x9D3FF1FC
[HEARTBEAT] SimTick: 5170 | NetHead: 5170 | Confirmed: 5167 | Missing: 3 | StateHash: 0x8EAF7435
[HEARTBEAT] SimTick: 5207 | NetHead: 5206 | Confirmed: 5202 | Missing: 5 | StateHash: 0x3ABA03A9
[HEARTBEAT] SimTick: 5247 | NetHead: 5246 | Confirmed: 5243 | Missing: 4 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5280 | NetHead: 5280 | Confirmed: 5276 | Missing: 4 | StateHash: 0x6D8DC6A4
[HEARTBEAT] SimTick: 5321 | NetHead: 5320 | Confirmed: 5317 | Missing: 4 | StateHash: 0x34531E99
[HEARTBEAT] SimTick: 5360 | NetHead: 5359 | Confirmed: 5355 | Missing: 5 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5399 | NetHead: 5398 | Confirmed: 5395 | Missing: 4 | StateHash: 0xB5D740AC
[HEARTBEAT] SimTick: 5437 | NetHead: 5436 | Confirmed: 5435 | Missing: 2 | StateHash: 0xA26CD64C
[HEARTBEAT] SimTick: 5480 | NetHead: 5480 | Confirmed: 5479 | Missing: 1 | StateHash: 0xD9F16574
[HEARTBEAT] SimTick: 5522 | NetHead: 5521 | Confirmed: 5520 | Missing: 2 | StateHash: 0x2147C8CD
[HEARTBEAT] SimTick: 5561 | NetHead: 5560 | Confirmed: 5557 | Missing: 4 | StateHash: 0xE4B837F4
